city,admin_name,lat,lng,forecast_date,temperature_2m_max,temperature_2m_min,precipitation_sum,precipitation_probability_max,wind_speed_10m_max,wind_gusts_10m_max,weather_code
Ait Ourir,Marrakech-Safi,31.5644,-7.6628,2026-09-17,28.1,17.9,0.0,8,11.0,20.5,3
Ait Ourir,Marrakech-Safi,31.5644,-7.6628,2026-09-18,30.4,17.8,0.0,8,10.6,20.9,3
Ait Ourir,Marrakech-Safi,31.5644,-7.6628,2026-09-19,35.2,20.0,0.0,3,12.9,22.7,3
Ait Ourir,Marrakech-Safi,31.5644,-7.6628,2026-09-20,38.7,23.4,0.0,0,13.0,36.4,3
Ait Ourir,Marrakech-Safi,31.5644,-7.6628,2026-09-21,36.2,22.7,0.3,3,15.3,31.0,2
Al Aaroui,Oriental,35.0104,-3.0073,2026-09-15,28.8,18.2,0.0,0,16.1,28.4,45
Al Aaroui,Oriental,35.0104,-3.0073,2026-09-16,33.4,17.6,0.0,0,15.2,28.1,1
Al Aaroui,Oriental,35.0104,-3.0073,2026-09-17,27.9,17.3,0.0,5,20.5,37.1,3
Al Aaroui,Oriental,35.0104,-3.0073,2026-09-18,26.1,20.0,0.0,10,21.4,37.4,45
Al Aaroui,Oriental,35.0104,-3.0073,2026-09-19,26.6,19.9,0.0,8,27.8,49.3,45
Al Aaroui,Oriental,35.0104,-3.0073,2026-09-20,27.4,20.9,0.0,5,22.7,47.5,3
Al Aaroui,Oriental,35.0104,-3.0073,2026-09-21,27.7,18.5,0.0,0,24.2,45.7,2
Al Fqih Ben Çalah,Béni Mellal-Khénifra,32.507,-6.6886,2026-09-15,39.6,22.6,0.0,3,19.2,36.0,2
Al Fqih Ben Çalah,Béni Mellal-Khénifra,32.507,-6.6886,2026-09-16,35.5,19.8,0.0,0,16.9,34.9,0
Al Fqih Ben Çalah,Béni Mellal-Khénifra,32.507,-6.6886,2026-09-17,32.8,16.5,0.0,0,13.4,25.2,3
Al Fqih Ben Çalah,Béni Mellal-Khénifra,32.507,-6.6886,2026-09-18,33.5,17.2,0.0,13,8.6,18.4,3
Al Fqih Ben Çalah,Béni Mellal-Khénifra,32.507,-6.6886,2026-09-19,38.0,19.5,0.0,6,13.5,27.0,2
Al Fqih Ben Çalah,Béni Mellal-Khénifra,32.507,-6.6886,2026-09-20,40.2,25.3,0.0,0,19.8,34.6,3
Al Fqih Ben Çalah,Béni Mellal-Khénifra,32.507,-6.6886,2026-09-21,38.9,23.8,0.6,3,11.9,23.0,3
Al Hoceïma,Tanger-Tétouan-Al Hoceïma,35.2472,-3.9322,2026-09-15,26.4,20.2,0.0,0,10.8,19.8,45
Al Hoceïma,Tanger-Tétouan-Al Hoceïma,35.2472,-3.9322,2026-09-16,28.9,19.9,0.0,0,12.8,23.8,1
Al Hoceïma,Tanger-Tétouan-Al Hoceïma,35.2472,-3.9322,2026-09-17,25.9,19.6,0.0,5,15.9,28.8,3
Al Hoceïma,Tanger-Tétouan-Al Hoceïma,35.2472,-3.9322,2026-09-18,26.0,19.2,0.0,8,18.2,32.4,3
Al Hoceïma,Tanger-Tétouan-Al Hoceïma,35.2472,-3.9322,2026-09-19,28.4,18.8,0.0,8,26.8,48.2,2
Al Hoceïma,Tanger-Tétouan-Al Hoceïma,35.2472,-3.9322,2026-09-20,27.8,20.8,0.0,5,26.8,53.3,1
Al Hoceïma,Tanger-Tétouan-Al Hoceïma,35.2472,-3.9322,2026-09-21,27.5,21.2,0.0,3,21.9,39.2,2
Al Khmissat,Rabat-Salé-Kénitra,33.81,-6.06,2026-09-15,34.8,20.4,0.0,0,17.7,36.7,0
Al Khmissat,Rabat-Salé-Kénitra,33.81,-6.06,2026-09-16,31.0,18.1,0.0,0,18.2,37.4,1
Al Khmissat,Rabat-Salé-Kénitra,33.81,-6.06,2026-09-17,28.4,16.5,0.0,0,15.5,32.0,3
Al Khmissat,Rabat-Salé-Kénitra,33.81,-6.06,2026-09-18,29.7,15.5,0.0,5,14.0,29.9,45
Al Khmissat,Rabat-Salé-Kénitra,33.81,-6.06,2026-09-19,34.4,17.5,0.0,3,13.8,29.2,3
Al Khmissat,Rabat-Salé-Kénitra,33.81,-6.06,2026-09-20,37.9,21.7,0.0,3,19.6,36.4,2
Al Khmissat,Rabat-Salé-Kénitra,33.81,-6.06,2026-09-21,38.2,19.7,0.0,3,20.0,36.7,2
Al ’Attawia,Marrakech-Safi,31.83,-7.31,2026-09-15,36.6,24.7,0.0,5,25.8,47.2,3
Al ’Attawia,Marrakech-Safi,31.83,-7.31,2026-09-16,33.1,19.4,0.0,0,17.5,31.3,1
Al ’Attawia,Marrakech-Safi,31.83,-7.31,2026-09-17,28.7,17.4,0.0,8,13.4,25.2,3
Al ’Attawia,Marrakech-Safi,31.83,-7.31,2026-09-18,30.3,17.5,0.0,10,13.0,23.8,3
Al ’Attawia,Marrakech-Safi,31.83,-7.31,2026-09-19,34.7,19.2,0.0,4,14.3,28.8,2
Al ’Attawia,Marrakech-Safi,31.83,-7.31,2026-09-20,37.9,22.1,0.0,3,13.0,23.0,3
Al ’Attawia,Marrakech-Safi,31.83,-7.31,2026-09-21,35.4,20.4,0.9,5,12.2,22.3,80
Arfoud,Drâa-Tafilalet,31.4361,-4.2328,2026-09-15,37.0,26.5,0.1,8,18.4,33.1,3
Arfoud,Drâa-Tafilalet,31.4361,-4.2328,2026-09-16,34.6,24.4,0.1,3,12.2,19.4,3
Arfoud,Drâa-Tafilalet,31.4361,-4.2328,2026-09-17,33.2,23.6,0.7,23,20.5,33.1,80
Arfoud,Drâa-Tafilalet,31.4361,-4.2328,2026-09-18,33.8,21.2,0.0,25,10.8,16.6,3
Arfoud,Drâa-Tafilalet,31.4361,-4.2328,2026-09-19,34.5,23.5,0.0,21,15.6,24.1,2
Arfoud,Drâa-Tafilalet,31.4361,-4.2328,2026-09-20,35.5,23.9,0.0,9,13.6,22.6,2
Arfoud,Drâa-Tafilalet,31.4361,-4.2328,2026-09-21,36.1,24.7,0.0,10,18.0,33.1,3
